,date,balance_gbp,type,balance_xrp
0,2023-01-17,200.0,deposit,0.0
1,2023-01-18,0.6816,buy,668.45817937
2,2023-03-27,200.0378,sell,159.73355202
3,2023-03-29,215.0378,sell,126.91185202
4,2023-05-08,0.0078,buy,766.15694202
5,2023-06-04,28.0478,sell,700.00000202
6,2023-06-22,165.7178,sell,350.00000202
7,2023-07-14,270.2578,sell,175.00000202
8,2023-08-19,133.2578,buy,513.44008202
9,2023-11-06,228.9778,sell,344.61935202
10,2024-03-05,300.9778,sell,199.36752202
14,2024-04-13,270.9778,buy,277.26092202
15,2024-04-21,253.7878,sell,338.50337202
16,2024-07-04,200.7878,buy,488.54719202
17,2024-07-05,169.7878,buy,582.21380202
18,2024-07-14,200.7878,sell,503.71263202
19,2024-07-17,240.0178,sell,419.08679202
20,2024-07-24,251.0178,sell,395.64784202
24,2024-08-05,235.5178,buy,438.73404202
25,2024-08-07,262.2678,sell,399.79974202
26,2024-11-16,287.2678,sell,366.85589202
27,2024-11-19,380.2678,sell,261.97605202
29,2024-12-02,178.3178,withdrawal,261.97605202
30,2024-12-10,127.3178,buy,282.35931202
31,2025-02-02,72.3178,buy,308.16273202
